Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	AlphaFoldDB	PDB	Taxonomic lineage	Taxonomic lineage (Ids)	Organism (ID)
A0A8T8K7C9	unreviewed	A0A8T8K7C9_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HYG87_08160	Methanobacterium alkalithermotolerans	705			Methanobacterium (genus), Methanobacteriaceae (family), Methanobacteriales (order), Methanobacteria (class), Methanomada group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2160 (genus), 2159 (family), 2158 (order), 183925 (class), 2283794 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2731220
A2SQZ9	unreviewed	A2SQZ9_METLZ	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Mlab_0581	Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z)	689	A2SQZ9;		Methanocorpusculum labreanum (species), Methanocorpusculum (genus), Methanocorpusculaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	83984 (species), 2192 (genus), 88404 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	410358
A5UN51	unreviewed	A5UN51_METS3	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Msm_1424	Methanobrevibacter smithii (strain ATCC 35061 / DSM 861 / OCM 144 / PS)	713	A5UN51;		Methanobrevibacter smithii (species), Methanobrevibacter (genus), Methanobacteriaceae (family), Methanobacteriales (order), Methanobacteria (class), Methanomada group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2173 (species), 2172 (genus), 2159 (family), 2158 (order), 183925 (class), 2283794 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	420247
A7I8B1	unreviewed	A7I8B1_METB6	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Mboo_1454	Methanoregula boonei (strain DSM 21154 / JCM 14090 / 6A8)	700	A7I8B1;		Methanoregula boonei (species), Methanoregula (genus), Methanoregulaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	358766 (species), 395331 (genus), 1198451 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	456442
B8GKW5	unreviewed	B8GKW5_METPE	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Mpal_1958	Methanosphaerula palustris (strain ATCC BAA-1556 / DSM 19958 / E1-9c)	717	B8GKW5;		Methanosphaerula palustris (species), Methanosphaerula (genus), Methanoregulaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	475088 (species), 475087 (genus), 1198451 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	521011
B8GKW6	unreviewed	B8GKW6_METPE	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Mpal_1959	Methanosphaerula palustris (strain ATCC BAA-1556 / DSM 19958 / E1-9c)	743	B8GKW6;		Methanosphaerula palustris (species), Methanosphaerula (genus), Methanoregulaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	475088 (species), 475087 (genus), 1198451 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	521011
B9AE57	unreviewed	B9AE57_METSM	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk METSMIALI_00634	Methanobrevibacter smithii DSM 2375	713	B9AE57;		Methanobrevibacter smithii (species), Methanobrevibacter (genus), Methanobacteriaceae (family), Methanobacteriales (order), Methanobacteria (class), Methanomada group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2173 (species), 2172 (genus), 2159 (family), 2158 (order), 183925 (class), 2283794 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	483214
C7P487	unreviewed	C7P487_HALMD	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Hmuk_1795	Halomicrobium mukohataei (strain ATCC 700874 / DSM 12286 / JCM 9738 / NCIMB 13541) (Haloarcula mukohataei)	828	C7P487;		Halomicrobium mukohataei (species), Halomicrobium (genus), Haloarculaceae (family), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	57705 (species), 203135 (genus), 1963268 (family), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	485914
D2RRW4	unreviewed	D2RRW4_HALTV	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Htur_3719	Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / JCM 9101 / NCIMB 13204 / VKM B-1734 / 4k) (Halococcus turkmenicus)	823	D2RRW4;		Haloterrigena turkmenica (species), Haloterrigena (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	62320 (species), 121871 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	543526
D2ZQE7	unreviewed	D2ZQE7_METSM	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk METSMIF1_03076	Methanobrevibacter smithii DSM 2374	713	D2ZQE7;		Methanobrevibacter smithii (species), Methanobrevibacter (genus), Methanobacteriaceae (family), Methanobacteriales (order), Methanobacteria (class), Methanomada group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2173 (species), 2172 (genus), 2159 (family), 2158 (order), 183925 (class), 2283794 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	521002
D4GUB5	unreviewed	D4GUB5_HALVD	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk2 ppk HVO_2598	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	747	D4GUB5;		Haloferax volcanii (species), Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2246 (species), 2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	309800
D4GZ78	unreviewed	D4GZ78_HALVD	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HVO_1650	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	832	D4GZ78;		Haloferax volcanii (species), Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2246 (species), 2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	309800
D5EAS2	unreviewed	D5EAS2_METMS	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Mmah_0749	Methanohalophilus mahii (strain ATCC 35705 / DSM 5219 / SLP)	690	D5EAS2;		Methanohalophilus mahii (species), Methanohalophilus (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2176 (species), 2175 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	547558
E1RG11	unreviewed	E1RG11_METP4	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Mpet_1488	Methanolacinia petrolearia (strain DSM 11571 / OCM 486 / SEBR 4847) (Methanoplanus petrolearius)	703	E1RG11;		Methanolacinia petrolearia (species), Methanolacinia (genus), Methanomicrobiaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	54120 (species), 230355 (genus), 2194 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	679926
E4NKY7	unreviewed	E4NKY7_HALBP	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Hbor_15690 C499_05268	Halogeometricum borinquense (strain ATCC 700274 / DSM 11551 / JCM 10706 / KCTC 4070 / PR3)	857	E4NKY7;		Halogeometricum borinquense (species), Halogeometricum (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	60847 (species), 60846 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	469382
E7QTB5	unreviewed	E7QTB5_HALPU	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk SAMN05444342_2246 ZOD2009_10215	Haladaptatus paucihalophilus DX253	707			Haladaptatus paucihalophilus (species), Haladaptatus (genus), Halobacteriaceae (family), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	367189 (species), 367188 (genus), 2236 (family), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	797209
F0T8Y4	unreviewed	F0T8Y4_METLA	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Metbo_1585	Methanobacterium lacus (strain AL-21)	704	F0T8Y4;		Methanobacterium (genus), Methanobacteriaceae (family), Methanobacteriales (order), Methanobacteria (class), Methanomada group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2160 (genus), 2159 (family), 2158 (order), 183925 (class), 2283794 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	877455
F6D4I8	unreviewed	F6D4I8_METPW	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSWAN_2220	Methanobacterium paludis (strain DSM 25820 / JCM 18151 / SWAN1)	710	F6D4I8;		Methanobacterium (genus), Methanobacteriaceae (family), Methanobacteriales (order), Methanobacteria (class), Methanomada group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2160 (genus), 2159 (family), 2158 (order), 183925 (class), 2283794 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	868131
F8D2X3	unreviewed	F8D2X3_HALXS	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Halxa_1483	Halopiger xanaduensis (strain DSM 18323 / JCM 14033 / SH-6)	767	F8D2X3;		Halopiger xanaduensis (species), Halopiger (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	387343 (species), 387342 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	797210
G0I0G3	unreviewed	G0I0G3_HALHT	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk HAH_5251	Haloarcula hispanica (strain ATCC 33960 / DSM 4426 / JCM 8911 / NBRC 102182 / NCIMB 2187 / VKM B-1755)	837	G0I0G3;		Haloarcula hispanica (species), Haloarcula (genus), Haloarculaceae (family), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	51589 (species), 2237 (genus), 1963268 (family), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	634497
G0LI70	unreviewed	G0LI70_HALWC	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Hqrw_1871	Haloquadratum walsbyi (strain DSM 16854 / JCM 12705 / C23)	751	G0LI70;		Haloquadratum walsbyi (species), Haloquadratum (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	293091 (species), 293431 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	768065
H1YY86	unreviewed	H1YY86_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Metlim_0028	Methanoplanus limicola DSM 2279	721	H1YY86;		Methanoplanus limicola (species), Methanoplanus (genus), Methanomicrobiaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2315 (species), 2314 (genus), 2194 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	937775
I3R5D6	unreviewed	I3R5D6_HALMT	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk ppk1 HFX_1740 BM92_00410 C439_01782 E6P09_11735	Haloferax mediterranei (strain ATCC 33500 / DSM 1411 / JCM 8866 / NBRC 14739 / NCIMB 2177 / R-4) (Halobacterium mediterranei)	835	I3R5D6;		Haloferax mediterranei (species), Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2252 (species), 2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	523841
I7CVF3	unreviewed	I7CVF3_NATSJ	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk NJ7G_1460	Natrinema sp. (strain J7-2)	797	I7CVF3;		unclassified Natrinema (no rank), Natrinema (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2622230 (no rank), 88723 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	406552
J1L0I7	unreviewed	J1L0I7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Metli_0152	Methanofollis liminatans DSM 4140	701	J1L0I7;		Methanofollis liminatans (species), Methanofollis (genus), Methanomicrobiaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2201 (species), 81416 (genus), 2194 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	28892
J1L200	unreviewed	J1L200_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Metli_0736	Methanofollis liminatans DSM 4140	681	J1L200;		Methanofollis liminatans (species), Methanofollis (genus), Methanomicrobiaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2201 (species), 81416 (genus), 2194 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	28892
J3JET0	unreviewed	J3JET0_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk HSB1_31070	Halogranum salarium B-1	794	J3JET0;		Halogranum salarium (species), Halogranum (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	693851 (species), 695982 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1210908
K6T2A2	unreviewed	K6T2A2_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk B655_1320	Methanobacterium sp. Maddingley MBC34	708	K6T2A2;		unclassified Methanobacterium (no rank), Methanobacterium (genus), Methanobacteriaceae (family), Methanobacteriales (order), Methanobacteria (class), Methanomada group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2627676 (no rank), 2160 (genus), 2159 (family), 2158 (order), 183925 (class), 2283794 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1220534
L0HHC5	unreviewed	L0HHC5_METFS	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Metfor_1681	Methanoregula formicica (strain DSM 22288 / NBRC 105244 / SMSP)	700	L0HHC5;		Methanoregula formicica (species), Methanoregula (genus), Methanoregulaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	882104 (species), 395331 (genus), 1198451 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	593750
L0IC63	unreviewed	L0IC63_HALRX	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Halru_0942	Halovivax ruber (strain DSM 18193 / JCM 13892 / XH-70)	767	L0IC63;		Halovivax ruber (species), Halovivax (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	387341 (species), 332951 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	797302
L0JJW4	unreviewed	L0JJW4_NATP1	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Natpe_1233 C488_01784	Natrinema pellirubrum (strain DSM 15624 / CIP 106293 / JCM 10476 / NCIMB 786 / 157)	826	L0JJW4;		Natrinema pellirubrum (species), Natrinema (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	69525 (species), 88723 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	797303
L0KV65	unreviewed	L0KV65_METHD	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Metho_0782	Methanomethylovorans hollandica (strain DSM 15978 / NBRC 107637 / DMS1)	693	L0KV65;		Methanomethylovorans hollandica (species), Methanomethylovorans (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	101192 (species), 101191 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	867904
L5NL44	unreviewed	L5NL44_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk D320_15525	Haloferax sp. BAB-2207	823	L5NL44;		unclassified Haloferax (no rank), Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2625095 (no rank), 2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1296625
L5NUX0	unreviewed	L5NUX0_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk D320_08902	Haloferax sp. BAB-2207	747	L5NUX0;		unclassified Haloferax (no rank), Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2625095 (no rank), 2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1296625
L9VXN7	unreviewed	L9VXN7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk C496_08356	Natronorubrum tibetense GA33	753	L9VXN7;		Natronorubrum tibetense (species), Natronorubrum (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	63128 (species), 134813 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1114856
L9WHF6	unreviewed	L9WHF6_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk C494_10200	Natronorubrum bangense JCM 10635	928	L9WHF6;		Natronorubrum bangense (species), Natronorubrum (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	61858 (species), 134813 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1227500
L9XZ30	unreviewed	L9XZ30_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk C489_11490	Natrinema versiforme JCM 10478	880	L9XZ30;		Natrinema versiforme (species), Natrinema (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	88724 (species), 88723 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1227496
L9Z8G2	unreviewed	L9Z8G2_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk C486_04448	Natrinema gari JCM 14663	803	L9Z8G2;		Natrinema gari (species), Natrinema (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	419186 (species), 88723 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1230459
L9ZKK8	unreviewed	L9ZKK8_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk C484_20467	Natrialba taiwanensis DSM 12281	793	L9ZKK8;		Natrialba taiwanensis (species), Natrialba (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	160846 (species), 63742 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1230458
L9ZKR4	unreviewed	L9ZKR4_NATA2	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk C485_09347	Natrinema altunense (strain JCM 12890 / CGMCC 1.3731 / AJ2)	804	L9ZKR4;		Natrinema altunense (species), Natrinema (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	222984 (species), 88723 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1227494
M0BHY9	unreviewed	M0BHY9_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk C480_02012	Natrialba aegyptia DSM 13077	763	M0BHY9;		Natrialba aegyptia (species), Natrialba (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	129789 (species), 63742 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1227491
M0BQR5	unreviewed	M0BQR5_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk C479_03845	Halovivax asiaticus JCM 14624	802	M0BQR5;		Halovivax asiaticus (species), Halovivax (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	332953 (species), 332951 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1227490
M0C5T5	unreviewed	M0C5T5_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk C476_13687	Haloterrigena limicola JCM 13563	812	M0C5T5;		Haloterrigena limicola (species), Haloterrigena (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	370323 (species), 121871 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1230457
