accession	alntmscore	Organism	Taxonomic.lineage
A0A0F6LGJ9	0.9928	Burkholderia pseudomallei MSHR4000	Burkholderia pseudomallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
C4KVJ5	0.9926	Burkholderia pseudomallei MSHR346	Burkholderia pseudomallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A3N864	0.9926	Burkholderia pseudomallei (strain 668)	Burkholderia pseudomallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A3NTX5	0.9929	Burkholderia pseudomallei (strain 1106a)	Burkholderia pseudomallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0E1S506	0.9928	Burkholderia pseudomallei 305	Burkholderia pseudomallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0E1UUH3	0.993	Burkholderia pseudomallei Pakistan 9	Burkholderia pseudomallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0E1W484	0.9925	Burkholderia pseudomallei 1710a	Burkholderia pseudomallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
B1HHW0	0.9926	Burkholderia pseudomallei S13	Burkholderia pseudomallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
Q63V75	0.9926	Burkholderia pseudomallei (strain K96243)	Burkholderia pseudomallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A120DY58	0.9913	Burkholderia cenocepacia	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3P0C894	0.9921	Burkholderia anthina	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2Z5MSG3	0.9941	Burkholderia pyrrocinia (Pseudomonas pyrrocinia)	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3P0NTK6	0.9925	Burkholderia sp. Bp9017	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A071MIV5	0.9922	Burkholderia cenocepacia	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3G3H3L9	0.9913	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
B1YMX3	0.9919	Burkholderia ambifaria (strain MC40-6)	Burkholderia ambifaria (species), Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7T6VH13	0.9924	Burkholderia anthina	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2S9KSD5	0.9946	Burkholderia ambifaria	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1B4G3Z6	0.9922	Burkholderia mayonis	pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3N8D0P0	0.9939	Burkholderia sp. Bp9126	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A837UTL5	0.9922	Burkholderia ubonensis	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1Y1BQ75	0.9947	Burkholderia stabilis	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A157Z7I9	0.9923	Caballeronia ptereochthonis	Caballeronia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2N9CFT7	0.9922	Burkholderia cenocepacia	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A132C554	0.9922	Burkholderia sp. ABCPW 14	pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
Q0BGI1	0.9922	Burkholderia ambifaria (strain ATCC BAA-244 / AMMD) (Burkholderia cepacia (strain AMMD))	Burkholderia ambifaria (species), Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A117VHG3	0.9944	Burkholderia sp. RF2-non_BP3	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
B1FAP8	0.9927	Burkholderia ambifaria IOP40-10	Burkholderia ambifaria (species), Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6L3NM93	0.9911	Burkholderia territorii	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A119DJ49	0.9939	Burkholderia anthina	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5E4Y7W9	0.9906	Pandoraea soli	Pandoraea (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1U9UX53	0.9553	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)	Cupriavidus (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7L9Q157	0.9906	Ralstonia solanacearum (Pseudomonas solanacearum)	Ralstonia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0E1TZJ2	0.973	Burkholderia pseudomallei 576	Burkholderia pseudomallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2K3EUA4	0.9678	Burkholderia pseudomallei (Pseudomonas pseudomallei)	pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3R9NBH4	0.9655	Burkholderia pseudomallei (Pseudomonas pseudomallei)	pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
Q3JTS3	0.9717	Burkholderia pseudomallei (strain 1710b)	Burkholderia pseudomallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6C6YRB7	0.9925	Burkholderia mallei (strain NCTC 10247)	Burkholderia mallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0H2WKH5	0.9925	Burkholderia mallei (strain ATCC 23344)	Burkholderia mallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A2S3P6	0.9925	Burkholderia mallei (strain NCTC 10229)	Burkholderia mallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4R6F6Y4	0.9927	Paraburkholderia sp. BL10I2N1	unclassified Paraburkholderia (no rank), Paraburkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3N7ZDJ7	0.9927	Burkholderia sp. Bp9143	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6N8SL75	0.9924	Burkholderia sp. 4701	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A106E9P9	0.9913	Burkholderia territorii	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A807EK23	0.9942	Burkholderia sp. NRF60-BP8	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A807EWB0	0.9918	Burkholderia stagnalis	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5E4WWV4	0.9898	Pandoraea eparura	Pandoraea (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5E4YU65	0.9824	Pandoraea aquatica	Pandoraea (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4V1BYW7	0.956	Cupriavidus oxalaticus	Cupriavidus (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A375F2H6	0.9573	Cupriavidus taiwanensis	Cupriavidus (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A370NLQ4	0.9592	Cupriavidus lacunae	Cupriavidus (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4R5IZJ4	0.961	Cupriavidus sp. L7L	unclassified Cupriavidus (no rank), Cupriavidus (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3B0DMZ1	0.9699	Burkholderia mallei (Pseudomonas mallei)	pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
C4AXI9	0.9612	Burkholderia mallei GB8 horse 4	Burkholderia mallei (species), pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1I1IWP6	0.9933	Collimonas sp. OK412	unclassified Collimonas (no rank), Collimonas (genus), Oxalobacteraceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0A1FG39	0.9925	Collimonas arenae	Collimonas (genus), Oxalobacteraceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1I3HKV6	0.9925	Collimonas sp. OK307	unclassified Collimonas (no rank), Collimonas (genus), Oxalobacteraceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A127R1C9	0.9923	Collimonas pratensis	Collimonas (genus), Oxalobacteraceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0G3EYP5	0.9908	Pandoraea thiooxydans	Pandoraea (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4Q2AUB1	0.994	Burkholderia stabilis	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3P0N9A9	0.9922	Burkholderia sp. Bp9031	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6H9T0A7	0.9942	Burkholderia latens	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1W1A9M9	0.9947	Burkholderia multivorans	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A103B7L6	0.9942	Burkholderia sp. ABCPW 11	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3P0RS22	0.992	Burkholderia sp. Bp9004	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A103E6P9	0.9922	Burkholderia singularis	pseudomallei group (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
J5AT47	0.9928	Burkholderia multivorans CF2	Burkholderia multivorans (species), Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A103L8P9	0.9942	Burkholderia sp. FL-7-2-10-S1-D7	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1H6ZFL4	0.9944	Paraburkholderia diazotrophica	Paraburkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3N8BN13	0.994	Burkholderia sp. Bp9142	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3N8F2J7	0.9926	Burkholderia sp. Bp9012	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A9ACK7	0.9925	Burkholderia multivorans (strain ATCC 17616 / 249)	Burkholderia multivorans (species), Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0U4DAD6	0.9944	Burkholderia cepacia JBK9	Burkholderia cepacia (species), Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3N8MF33	0.992	Burkholderia sp. Bp8963	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A158B1M1	0.9926	Caballeronia hypogeia	Caballeronia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A108E6U2	0.9917	Burkholderia territorii	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6P2HWW0	0.9919	Burkholderia diffusa	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6P2JAX3	0.9906	Burkholderia arboris	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A375CU70	0.9289	Cupriavidus taiwanensis	Cupriavidus (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5P3VMW8	0.9526	Cupriavidus oxalaticus	Cupriavidus (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5B7U1Z3	0.9906	Ralstonia solanacearum (Pseudomonas solanacearum)	Ralstonia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A127P955	0.9922	Collimonas fungivorans	Collimonas (genus), Oxalobacteraceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1I0YPV3	0.9928	Collimonas sp. OK607	unclassified Collimonas (no rank), Collimonas (genus), Oxalobacteraceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
B9BB76	0.9915	Burkholderia multivorans CGD1	Burkholderia multivorans (species), Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
B9BNG7	0.9945	Burkholderia multivorans CGD2	Burkholderia multivorans (species), Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0B1YNR4	0.9942	Burkholderia sp. A9	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1B4F3V8	0.9941	Burkholderia sp. LA-2-3-30-S1-D2	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A228HW13	0.9925	Burkholderia sp. AU16741	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2S9N3X9	0.9945	Burkholderia multivorans	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1B4NR33	0.9923	Burkholderia latens	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A228QH15	0.9946	Burkholderia sp. HI2761	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1J9NSD6	0.9922	Burkholderia catarinensis	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2Z6U667	0.9928	Burkholderia vietnamiensis	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A108G3E3	0.9936	Burkholderia stagnalis	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6L3MVT1	0.9939	Burkholderia stagnalis	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A329CV75	0.9923	Paraburkholderia bryophila	Paraburkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A495YJ65	0.9945	Burkholderia sp. Nafp2/4-1b	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A522JUV1	0.9753	Pandoraea sp	unclassified Pandoraea (no rank), Pandoraea (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5E4YN98	0.9762	Pandoraea capi	Pandoraea (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0C5KJ13	0.9748	Pandoraea vervacti	Pandoraea (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1E3LCK6	0.9831	Pandoraea sp. ISTKB	unclassified Pandoraea (no rank), Pandoraea (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A522KJ23	0.9632	Paraburkholderia sp	unclassified Paraburkholderia (no rank), Paraburkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A375G3P0	0.9605	Cupriavidus oxalaticus	Cupriavidus (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3N8GTZ7	0.9701	Burkholderia sp. Bp8998	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A536YVN9	0.9654	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
I5CE45	0.9941	Paraburkholderia hospita BS001	Paraburkholderia hospita (species), Paraburkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3N8AMM1	0.9922	Burkholderia sp. Bp9131	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7Z7H218	0.9943	Paraburkholderia hospita	Paraburkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A653XBM3	0.9923	Burkholderia sp. 8Y	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4V8GCB3	0.9924	Burkholderia sp. USMB20	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
